station,Y,X,Deployment,Retrieving
J43,3214795.033,395125.7933,20-04-2022,"25-05-2022
"
J44,3215110.048,396742.1518,20-04-2022,"25-05-2022
"
J45,3214259.266,399482.9539,20-04-2022,"25-05-2022
"
J46,3214697.561,398819.3134,20-04-2022,"25-05-2022
"
J47,3216330.594,394299.089,21-04-2022,"25-05-2022
"
J48,3217211.878,394197.1543,21-04-2022,"25-05-2022
"
J49,3218118.329,394203.6226,21-04-2022,"25-05-2022
"
J50,3218773.49,393822.7788,21-04-2022,"25-05-2022
"
J51,3220150.72,392955.3388,21-04-2022,"25-05-2022
"
J52,3217763.221,394660.0018,21-04-2022,"25-05-2022
"
J53,3218839.721,395256.299,21-04-2022,"25-05-2022
"
J54,3219672.196,394870.2899,21-04-2022,"25-05-2022
"
J55,3219521.322,395751.5762,21-04-2022,"25-05-2022
"
J56,3218684.39,397629.4636,22-04-2022,"29-05-2022
"
J57,3219031.422,397305.1656,22-04-2022,"25-05-2022
"
J58,3219809.913,396889.6081,22-04-2022,"25-05-2022
"
J59,3222064.52,397210.7195,22-04-2022,"25-05-2022
"
J60,3219009.285,396753.988,22-04-2022,"25-05-2022
"
J61,3215376.667,393833.7981,23-04-2022,"25-05-2022
"
J63,3215868.996,397648.1471,23-04-2022,"25-05-2022
"
S2,3217519.464,403765.1679,23-04-2022,"26-05-2022
"
S3,3219370.24,403514.9565,23-04-2022,"26-05-2022
"
S4,3215185.022,400415.691,24-04-2022,"25-05-2022
"
S5,3216488.416,400363.9933,24-04-2022,"25-05-2022
"
S6,3218334.566,399525.9412,24-04-2022,"25-05-2022
"
S7,3217699.326,399798.8684,24-04-2022,"25-05-2022
"
S8,3214582.792,400932.7133,24-04-2022,"25-05-2022
"
S9,3214709.729,402864.0032,24-04-2022,"25-05-2022
"
S11,3214720.894,400056.5642,24-04-2022,"26-05-2022
"
S12,3220055.509,403284.4636,25-04-2022,"26-05-2022
"
S13,3221628.589,402861.5027,25-04-2022,"25-05-2022
"
S14,3222130.101,402091.4228,25-04-2022,"25-05-2022
"
S15,3222693.78,403167.283,25-04-2022,"25-05-2022
"
S16,3223673.805,402735.3573,25-04-2022,"25-05-2022
"
S17,3224364.97,398017.7328,25-04-2022,"25-05-2022
"
S18,3223788.541,398040.6996,25-04-2022,"25-05-2022
"
S19,3216229.978,400811.9899,26-04-2022,"25-05-2022
"
S20,3217469.388,400791.0684,26-04-2022,"25-05-2022
"
S21,3219028.697,401152.2245,26-04-2022,"25-05-2022
"
S22,3219630.499,401183.3659,26-04-2022,"26-05-2022
"
S23,3219635.092,401186.1081,27-04-2022,"26-05-2022
"
S24,3217437.644,401116.6085,27-04-2022,"26-05-2022
"
