"","station","Species","Individual","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","D101","experiment_2024","T18",2024-03-28 07:27:22,2024-03-28,"07:27:22",0,0,0,0,"2024/experiment_2024/D101/T18","D101_A_I__00041.JPG",1
"2","D101","experiment_2024","T25",2024-03-28 07:27:24,2024-03-28,"07:27:24",0,0,0,0,"2024/experiment_2024/D101/T25","D101_A_I__00042.JPG",1
"3","D102","experiment_2024","T25",2024-04-03 15:56:24,2024-04-03,"15:56:24",0,0,0,0,"2024/experiment_2024/D102/T25","D102_B_I__01685.JPG",3
"4","D102","experiment_2024","T7",2024-03-12 06:53:28,2024-03-12,"06:53:28",0,0,0,0,"2024/experiment_2024/D102/T7","D102_B_I__00060.JPG",1
"5","D102","experiment_2024","T7",2024-03-21 07:59:34,2024-03-21,"07:59:34",781566,13026.1,217.1,9,"2024/experiment_2024/D102/T7","D102_B_I__00170.JPG",2
"6","D103","experiment_2024","T7",2024-03-11 18:17:00,2024-03-11,"18:17:00",0,0,0,0,"2024/experiment_2024/D103/T7","D103_B_I__00116.JPG",5
"7","D103","experiment_2024","T7",2024-03-13 06:09:42,2024-03-13,"06:09:42",129162,2152.7,35.9,1.5,"2024/experiment_2024/D103/T7","D103_B_I__00140.JPG",1
"8","D103","experiment_2024","T7",2024-03-20 20:04:56,2024-03-20,"20:04:56",654914,10915.2,181.9,7.6,"2024/experiment_2024/D103/T7","D103_B_I__00193.JPG",2
"9","D103","experiment_2024","T9",2024-03-09 11:07:54,2024-03-09,"11:07:54",0,0,0,0,"2024/experiment_2024/D103/T9","D103_A_I__00877.JPG",4
"10","D103","experiment_2024","T9",2024-03-16 02:47:42,2024-03-16,"02:47:42",574788,9579.8,159.7,6.7,"2024/experiment_2024/D103/T9","D103_B_I__00174.JPG",1
"11","D104","experiment_2024","T7",2024-03-02 08:38:19,2024-03-02,"08:38:19",0,0,0,0,"2024/experiment_2024/D104/T7","D104_A_I__00381.JPG",2
"12","D106","experiment_2024","T13",2024-04-06 17:08:10,2024-04-06,"17:08:10",0,0,0,0,"2024/experiment_2024/D106/T13","D106_B_I__00338.JPG",4
"13","D106","experiment_2024","T6",2024-04-15 20:44:44,2024-04-15,"20:44:44",0,0,0,0,"2024/experiment_2024/D106/T6","D106_B_I__00381.JPG",1
"14","D106","experiment_2024","T6",2024-04-15 20:46:00,2024-04-15,"20:46:00",76,1.3,0,0,"2024/experiment_2024/D106/T6","D106_A_I__00648.JPG",1
"15","D107","experiment_2024","T10",2024-03-10 16:24:24,2024-03-10,"16:24:24",0,0,0,0,"2024/experiment_2024/D107/T10","D107_B_I__00008.JPG",4
"16","D107","experiment_2024","T10",2024-04-30 08:37:56,2024-04-30,"08:37:56",4378412,72973.5,1216.2,50.7,"2024/experiment_2024/D107/T10","D107_B_I__00126.JPG",2
"17","D107","experiment_2024","T10",2024-04-30 08:39:34,2024-04-30,"08:39:34",98,1.6,0,0,"2024/experiment_2024/D107/T10","D107_A_I__00566.JPG",2
"18","D107","experiment_2024","T13",2024-03-22 13:48:48,2024-03-22,"13:48:48",0,0,0,0,"2024/experiment_2024/D107/T13","D107_B_I__00046.JPG",2
"19","D107","experiment_2024","T13",2024-03-22 13:49:48,2024-03-22,"13:49:48",60,1,0,0,"2024/experiment_2024/D107/T13","D107_A_I__00079.JPG",2
"20","D107","experiment_2024","T13",2024-04-06 20:58:16,2024-04-06,"20:58:16",1321708,22028.5,367.1,15.3,"2024/experiment_2024/D107/T13","D107_A_I__00181.JPG",1
"21","D107","experiment_2024","T32",2024-03-16 07:53:08,2024-03-16,"07:53:08",0,0,0,0,"2024/experiment_2024/D107/T32","D107_B_I__00042.JPG",5
"22","D108","experiment_2024","T13",2024-04-03 11:18:00,2024-04-03,"11:18:00",0,0,0,0,"2024/experiment_2024/D108/T13","D108_B_I__07788.JPG",2
"23","D108","experiment_2024","T13",2024-04-15 06:45:53,2024-04-15,"06:45:53",1020473,17007.9,283.5,11.8,"2024/experiment_2024/D108/T13","D108_B_I__08388.JPG",2
"24","D108","experiment_2024","T13",2024-05-02 20:40:13,2024-05-02,"20:40:13",1518860,25314.3,421.9,17.6,"2024/experiment_2024/D108/T13","D108_B_I__08592.JPG",1
"25","D108","experiment_2024","T22",2024-04-15 10:00:22,2024-04-15,"10:00:22",0,0,0,0,"2024/experiment_2024/D108/T22","D108_B_I__08390.JPG",2
"26","D108","experiment_2024","T22",2024-05-04 03:18:46,2024-05-04,"03:18:46",1617504,26958.4,449.3,18.7,"2024/experiment_2024/D108/T22","D108_B_I__08594.JPG",1
"27","D109","experiment_2024","T12",2024-03-07 04:28:58,2024-03-07,"04:28:58",0,0,0,0,"2024/experiment_2024/D109/T12","D109_A_I__00104.JPG",1
"28","D109","experiment_2024","T13",2024-03-11 18:03:40,2024-03-11,"18:03:40",0,0,0,0,"2024/experiment_2024/D109/T13","D109_B_I__00300.JPG",4
"29","D109","experiment_2024","T13",2024-03-20 18:00:28,2024-03-20,"18:00:28",777408,12956.8,215.9,9,"2024/experiment_2024/D109/T13","D109_A_I__00301.JPG",2
"30","D109","experiment_2024","T13",2024-04-02 18:14:04,2024-04-02,"18:14:04",1124016,18733.6,312.2,13,"2024/experiment_2024/D109/T13","D109_B_I__00487.JPG",3
"31","D109","experiment_2024","T22",2024-03-19 03:01:18,2024-03-19,"03:01:18",0,0,0,0,"2024/experiment_2024/D109/T22","D109_A_I__00299.JPG",1
"32","D109","experiment_2024","T32",2024-03-09 21:09:14,2024-03-09,"21:09:14",0,0,0,0,"2024/experiment_2024/D109/T32","D109_B_I__00299.JPG",2
"33","D123","experiment_2024","T16",2024-04-05 20:34:24,2024-04-05,"20:34:24",0,0,0,0,"2024/experiment_2024/D123/T16","D123_B_I__00322.JPG",2
"34","D124","experiment_2024","T9",2024-03-16 03:15:10,2024-03-16,"03:15:10",0,0,0,0,"2024/experiment_2024/D124/T9","D124_B_I__00112.JPG",2
"35","D124","experiment_2024","T9",2024-03-22 21:25:26,2024-03-22,"21:25:26",583816,9730.3,162.2,6.8,"2024/experiment_2024/D124/T9","D124_B_I__00123.JPG",2
"36","D124","experiment_2024","T9",2024-03-22 23:52:32,2024-03-22,"23:52:32",8826,147.1,2.5,0.1,"2024/experiment_2024/D124/T9","D124_B_I__00124.JPG",2
"37","D125","experiment_2024","T10",2024-04-05 09:00:52,2024-04-05,"09:00:52",0,0,0,0,"2024/experiment_2024/D125/T10","D125_B_I__01214.JPG",5
"38","D125","experiment_2024","T16",2024-04-11 09:03:22,2024-04-11,"09:03:22",0,0,0,0,"2024/experiment_2024/D125/T16","D125_B_I__01236.JPG",4
"39","D126","experiment_2024","T9",2024-03-12 05:43:16,2024-03-12,"05:43:16",0,0,0,0,"2024/experiment_2024/D126/T9","D126_A_I__01880.JPG",1
"40","D127","experiment_2024","T10",2024-03-07 07:04:46,2024-03-07,"07:04:46",0,0,0,0,"2024/experiment_2024/D127/T10","D127_B_I__00004.JPG",5
"41","D127","experiment_2024","T10",2024-04-13 07:08:12,2024-04-13,"07:08:12",3197006,53283.4,888.1,37,"2024/experiment_2024/D127/T10","D127_B_I__00091.JPG",1
"42","D127","experiment_2024","T13",2024-03-23 17:35:16,2024-03-23,"17:35:16",0,0,0,0,"2024/experiment_2024/D127/T13","D127_B_I__00024.JPG",4
"43","D127","experiment_2024","T13",2024-04-09 07:11:12,2024-04-09,"07:11:12",1431356,23855.9,397.6,16.6,"2024/experiment_2024/D127/T13","D127_B_I__00085.JPG",2
"44","D127","experiment_2024","T16",2024-04-01 21:56:48,2024-04-01,"21:56:48",0,0,0,0,"2024/experiment_2024/D127/T16","D127_B_I__00057.JPG",2
"45","D127","experiment_2024","T16",2024-04-12 03:22:26,2024-04-12,"03:22:26",883538,14725.6,245.4,10.2,"2024/experiment_2024/D127/T16","D127_B_I__00090.JPG",2
"46","D127","experiment_2024","T32",2024-03-29 06:56:52,2024-03-29,"06:56:52",0,0,0,0,"2024/experiment_2024/D127/T32","D127_B_I__00052.JPG",2
"47","D127","experiment_2024","T9",2024-03-10 12:49:34,2024-03-10,"12:49:34",0,0,0,0,"2024/experiment_2024/D127/T9","D127_B_I__00010.JPG",4
"48","D127","experiment_2024","T9",2024-03-16 19:48:32,2024-03-16,"19:48:32",543538,9059,151,6.3,"2024/experiment_2024/D127/T9","D127_B_I__00015.JPG",2
"49","D127","experiment_2024","T9",2024-04-02 01:46:44,2024-04-02,"01:46:44",1403892,23398.2,390,16.2,"2024/experiment_2024/D127/T9","D127_B_I__00058.JPG",2
"50","D127","experiment_2024","T9",2024-04-14 04:50:38,2024-04-14,"04:50:38",1047834,17463.9,291.1,12.1,"2024/experiment_2024/D127/T9","D127_B_I__00094.JPG",2
"51","D128","experiment_2024","T10",2024-03-11 18:01:54,2024-03-11,"18:01:54",0,0,0,0,"2024/experiment_2024/D128/T10","D128_A_I__00951.JPG",2
"52","D128","experiment_2024","T10",2024-03-11 19:01:59,2024-03-11,"19:01:59",3605,60.1,1,0,"2024/experiment_2024/D128/T10","D128_B_I__00024.JPG",2
"53","D129","experiment_2024","T10",2024-03-09 00:49:26,2024-03-09,"00:49:26",0,0,0,0,"2024/experiment_2024/D129/T10","D129_A_I__00005.JPG",2
"54","D129","experiment_2024","T10",2024-03-16 01:38:52,2024-03-16,"01:38:52",607766,10129.4,168.8,7,"2024/experiment_2024/D129/T10","D129_A_I__00009.JPG",3
"55","D129","experiment_2024","T10",2024-03-26 01:36:51,2024-03-26,"01:36:51",863879,14398,240,10,"2024/experiment_2024/D129/T10","D129_A_I__00085.JPG",2
"56","D129","experiment_2024","T13",2024-03-22 03:52:40,2024-03-22,"03:52:40",0,0,0,0,"2024/experiment_2024/D129/T13","D129_B_I__00040.JPG",1
"57","D130","experiment_2024","T10",2024-03-11 19:55:26,2024-03-11,"19:55:26",0,0,0,0,"2024/experiment_2024/D130/T10","D130_A_I__00025.JPG",2
"58","D130","experiment_2024","T10",2024-03-30 19:21:56,2024-03-30,"19:21:56",1639590,27326.5,455.4,19,"2024/experiment_2024/D130/T10","D130_A_I__00208.JPG",3
"59","D130","experiment_2024","T10",2024-04-01 20:23:34,2024-04-01,"20:23:34",176498,2941.6,49,2,"2024/experiment_2024/D130/T10","D130_A_I__00222.JPG",2
"60","D130","experiment_2024","T12",2024-03-16 20:25:50,2024-03-16,"20:25:50",0,0,0,0,"2024/experiment_2024/D130/T12","D130_A_I__00079.JPG",2
"61","D130","experiment_2024","T13",2024-03-13 19:07:34,2024-03-13,"19:07:34",0,0,0,0,"2024/experiment_2024/D130/T13","D130_A_I__00029.JPG",3
"62","D130","experiment_2024","T13",2024-03-30 20:09:26,2024-03-30,"20:09:26",1472512,24541.9,409,17,"2024/experiment_2024/D130/T13","D130_A_I__00212.JPG",2
"63","D130","experiment_2024","T16",2024-03-16 19:14:00,2024-03-16,"19:14:00",0,0,0,0,"2024/experiment_2024/D130/T16","D130_A_I__00073.JPG",4
"64","D130","experiment_2024","T16",2024-04-12 20:42:18,2024-04-12,"20:42:18",2338098,38968.3,649.5,27.1,"2024/experiment_2024/D130/T16","D130_A_I__00297.JPG",2
"65","D130","experiment_2024","UK12",2024-04-07 05:42:12,2024-04-07,"05:42:12",0,0,0,0,"2024/experiment_2024/D130/UK12","D130_A_I__00255.JPG",2
"66","D145","experiment_2024","T10",2024-03-19 04:51:28,2024-03-19,"04:51:28",0,0,0,0,"2024/experiment_2024/D145/T10","D145_B_I__00509.JPG",2
"67","D145","experiment_2024","T10",2024-03-31 21:25:08,2024-03-31,"21:25:08",1096420,18273.7,304.6,12.7,"2024/experiment_2024/D145/T10","D145_B_I__00845.JPG",2
"68","D145","experiment_2024","T10",2024-04-04 23:38:54,2024-04-04,"23:38:54",353626,5893.8,98.2,4.1,"2024/experiment_2024/D145/T10","D145_B_I__00958.JPG",2
"69","D145","experiment_2024","T10",2024-04-13 05:45:14,2024-04-13,"05:45:14",713180,11886.3,198.1,8.3,"2024/experiment_2024/D145/T10","D145_B_I__01266.JPG",2
"70","D145","experiment_2024","T16",2024-04-03 04:48:38,2024-04-03,"04:48:38",0,0,0,0,"2024/experiment_2024/D145/T16","D145_B_I__00918.JPG",2
"71","D145","experiment_2024","T16",2024-04-04 02:26:42,2024-04-04,"02:26:42",77884,1298.1,21.6,0.9,"2024/experiment_2024/D145/T16","D145_B_I__00944.JPG",2
"72","D145","experiment_2024","T16",2024-04-08 23:58:46,2024-04-08,"23:58:46",423124,7052.1,117.5,4.9,"2024/experiment_2024/D145/T16","D145_B_I__01092.JPG",2
"73","D145","experiment_2024","T16",2024-04-09 20:18:54,2024-04-09,"20:18:54",73208,1220.1,20.3,0.8,"2024/experiment_2024/D145/T16","D145_B_I__01156.JPG",2
"74","D145","experiment_2024","T16",2024-04-09 20:23:36,2024-04-09,"20:23:36",282,4.7,0.1,0,"2024/experiment_2024/D145/T16","D145_A_I__01169.JPG",2
"75","D145","experiment_2024","T16",2024-04-09 20:25:52,2024-04-09,"20:25:52",136,2.3,0,0,"2024/experiment_2024/D145/T16","D145_A_I__01171.JPG",1
"76","D145","experiment_2024","T16",2024-04-11 22:36:22,2024-04-11,"22:36:22",180630,3010.5,50.2,2.1,"2024/experiment_2024/D145/T16","D145_B_I__01184.JPG",2
"77","D145","experiment_2024","T32",2024-03-29 09:11:22,2024-03-29,"09:11:22",0,0,0,0,"2024/experiment_2024/D145/T32","D145_B_I__00792.JPG",3
"78","D145","experiment_2024","T9",2024-03-13 05:50:42,2024-03-13,"05:50:42",0,0,0,0,"2024/experiment_2024/D145/T9","D145_B_I__00200.JPG",1
"79","D145","experiment_2024","T9",2024-03-18 07:35:04,2024-03-18,"07:35:04",438262,7304.4,121.7,5.1,"2024/experiment_2024/D145/T9","D145_B_I__00504.JPG",4
"80","D145","experiment_2024","UK2",2024-03-13 05:51:00,2024-03-13,"05:51:00",0,0,0,0,"2024/experiment_2024/D145/UK2","D145_A_I__00246.JPG",1
"81","D145","experiment_2024","UK4",2024-04-09 03:44:34,2024-04-09,"03:44:34",0,0,0,0,"2024/experiment_2024/D145/UK4","D145_B_I__01093.JPG",2
"82","D146","experiment_2024","T10",2024-03-11 07:57:36,2024-03-11,"07:57:36",0,0,0,0,"2024/experiment_2024/D146/T10","D146_B_I__00738.JPG",5
