"","station","Species","Individual","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","D10","experiment_2022","T1_F",2022-03-20 14:08:04,2022-03-20,"14:08:04",0,0,0,0,"2022/experiment_2022/D10/T1_F","D10_B_I__00407.JPG",4
"2","D10","experiment_2022","T1_F",2022-03-31 01:10:04,2022-03-31,"01:10:04",903720,15062,251,10.5,"2022/experiment_2022/D10/T1_F","D10.D10B.D10_B_I__00477.JPG",1
"3","D11","experiment_2022","T7_F",2022-03-13 08:06:44,2022-03-13,"08:06:44",0,0,0,0,"2022/experiment_2022/D11/T7_F","D11_A_I__00121.JPG",7
"4","D11","experiment_2022","T8_M",2022-04-05 03:08:54,2022-04-05,"03:08:54",0,0,0,0,"2022/experiment_2022/D11/T8_M","D11_A_I__00352.JPG",1
"5","D12","experiment_2022","T8_M",2022-03-09 19:28:56,2022-03-09,"19:28:56",0,0,0,0,"2022/experiment_2022/D12/T8_M","D12_A_I__00058.JPG",1
"6","D12","experiment_2022","T8_M",2022-03-09 19:30:12,2022-03-09,"19:30:12",76,1.3,0,0,"2022/experiment_2022/D12/T8_M","D12_B_I__00035.JPG",1
"7","D13","experiment_2022","T21_F",2022-03-30 16:32:50,2022-03-30,"16:32:50",0,0,0,0,"2022/experiment_2022/D13/T21_F","D13_A_I__00167.JPG",15
"8","D13","experiment_2022","T21_F",2022-03-30 16:35:34,2022-03-30,"16:35:34",164,2.7,0,0,"2022/experiment_2022/D13/T21_F","D13_A_I__00187.JPG",2
"9","D13","experiment_2022","T21_F",2022-03-30 16:37:12,2022-03-30,"16:37:12",98,1.6,0,0,"2022/experiment_2022/D13/T21_F","D13_B_I__00030.JPG",2
"10","D14","experiment_2022","T13_F",2022-03-01 08:13:04,2022-03-01,"08:13:04",0,0,0,0,"2022/experiment_2022/D14/T13_F","D14_B_I__00012.JPG",5
"11","D14","experiment_2022","T13_F",2022-03-14 15:40:16,2022-03-14,"15:40:16",1150032,19167.2,319.5,13.3,"2022/experiment_2022/D14/T13_F","D14_B_I__00044.JPG",3
"12","D14","experiment_2022","T13_F",2022-04-06 22:04:12,2022-04-06,"22:04:12",2010236,33503.9,558.4,23.3,"2022/experiment_2022/D14/T13_F","D14_A_I__00046.JPG",1
"13","D14","experiment_2022","T14_F",2022-03-14 20:08:38,2022-03-14,"20:08:38",0,0,0,0,"2022/experiment_2022/D14/T14_F","D14_B_I__00047.JPG",1
"14","D14","experiment_2022","T21_F",2022-03-31 02:42:02,2022-03-31,"02:42:02",0,0,0,0,"2022/experiment_2022/D14/T21_F","D14_B_I__00050.JPG",1
"15","D14","experiment_2022","T21_F",2022-04-01 12:57:01,2022-04-01,"12:57:01",123299,2055,34.2,1.4,"2022/experiment_2022/D14/T21_F","D14_B_I__00055.JPG",2
"16","D14","experiment_2022","T8_M",2022-03-02 07:46:16,2022-03-02,"07:46:16",0,0,0,0,"2022/experiment_2022/D14/T8_M","D14_B_I__00029.JPG",4
"17","D14","experiment_2022","T8_M",2022-03-09 20:59:05,2022-03-09,"20:59:05",652369,10872.8,181.2,7.6,"2022/experiment_2022/D14/T8_M","D14_B_I__00039.JPG",1
"18","D14","experiment_2022","T8_M",2022-03-15 01:06:57,2022-03-15,"01:06:57",446872,7447.9,124.1,5.2,"2022/experiment_2022/D14/T8_M","D14_B_I__00048.JPG",1
"19","D14","experiment_2022","T8_M",2022-04-05 18:19:38,2022-04-05,"18:19:38",1876361,31272.7,521.2,21.7,"2022/experiment_2022/D14/T8_M","D14_B_I__00062.JPG",2
"20","D15","experiment_2022","T1_F",2022-02-28 09:31:10,2022-02-28,"09:31:10",0,0,0,0,"2022/experiment_2022/D15/T1_F","D15_B_I__00035.JPG",14
"21","D15","experiment_2022","T1_F",2022-03-22 04:11:56,2022-03-22,"04:11:56",1881646,31360.8,522.7,21.8,"2022/experiment_2022/D15/T1_F","D15_A_I__00304.JPG",1
"22","D15","experiment_2022","T1_F",2022-04-04 03:46:41,2022-04-04,"03:46:41",1121685,18694.8,311.6,13,"2022/experiment_2022/D15/T1_F","D15_B_I__00234.JPG",3
"23","D15","experiment_2022","T1_F",2022-04-04 04:47:24,2022-04-04,"04:47:24",3643,60.7,1,0,"2022/experiment_2022/D15/T1_F","D15_A_I__00410.JPG",2
"24","D15","experiment_2022","T1_F",2022-04-09 07:31:19,2022-04-09,"07:31:19",441835,7363.9,122.7,5.1,"2022/experiment_2022/D15/T1_F","D15_B_I__00247.JPG",5
"25","D15","experiment_2022","T1_F",2022-04-09 07:32:30,2022-04-09,"07:32:30",71,1.2,0,0,"2022/experiment_2022/D15/T1_F","D15_B_I__00252.JPG",2
"26","D15","experiment_2022","T1_F",2022-04-09 08:08:43,2022-04-09,"08:08:43",2173,36.2,0.6,0,"2022/experiment_2022/D15/T1_F","D15_B_I__00254.JPG",1
"27","D15","experiment_2022","T1_F",2022-04-09 08:32:06,2022-04-09,"08:32:06",1403,23.4,0.4,0,"2022/experiment_2022/D15/T1_F","D15_A_I__00432.JPG",5
"28","D15","experiment_2022","T1_F",2022-04-09 08:33:14,2022-04-09,"08:33:14",68,1.1,0,0,"2022/experiment_2022/D15/T1_F","D15_A_I__00440.JPG",3
"29","D15","experiment_2022","T34",2022-04-09 09:09:28,2022-04-09,"09:09:28",0,0,0,0,"2022/experiment_2022/D15/T34","D15_A_I__00443.JPG",2
"30","D15","experiment_2022","T5_M",2022-03-04 02:39:52,2022-03-04,"02:39:52",0,0,0,0,"2022/experiment_2022/D15/T5_M","D15_B_I__00077.JPG",2
"31","D15","experiment_2022","T5_M",2022-03-27 20:30:29,2022-03-27,"20:30:29",2051437,34190.6,569.8,23.7,"2022/experiment_2022/D15/T5_M","D15_B_I__00212.JPG",1
"32","D15","experiment_2022","T5_M",2022-03-27 21:31:12,2022-03-27,"21:31:12",3643,60.7,1,0,"2022/experiment_2022/D15/T5_M","D15_A_I__00369.JPG",1
"33","D16","experiment_2022","T12_F",2022-04-01 06:42:02,2022-04-01,"06:42:02",0,0,0,0,"2022/experiment_2022/D16/T12_F","D16.D16A.D16_A_I__00457.JPG",1
"34","D16","experiment_2022","T12_F",2022-04-01 07:17:41,2022-04-01,"07:17:41",2139,35.6,0.6,0,"2022/experiment_2022/D16/T12_F","D16_A_I__00448.JPG",1
"35","D16","experiment_2022","T12_F",2022-04-01 07:56:59,2022-04-01,"07:56:59",2358,39.3,0.7,0,"2022/experiment_2022/D16/T12_F","D16_A_I__00449.JPG",1
"36","D16","experiment_2022","T12_F",2022-04-01 18:41:57,2022-04-01,"18:41:57",38698,645,10.8,0.4,"2022/experiment_2022/D16/T12_F","D16_A_I__00455.JPG",2
"37","D16","experiment_2022","T12_F",2022-04-03 21:40:30,2022-04-03,"21:40:30",183513,3058.6,51,2.1,"2022/experiment_2022/D16/T12_F","D16_B_I__00938.JPG",1
"38","D16","experiment_2022","T12_F",2022-04-03 22:19:42,2022-04-03,"22:19:42",2352,39.2,0.7,0,"2022/experiment_2022/D16/T12_F","D16_B_I__00939.JPG",1
"39","D16","experiment_2022","T12_F",2022-04-04 03:19:18,2022-04-04,"03:19:18",17976,299.6,5,0.2,"2022/experiment_2022/D16/T12_F","D16_B_I__00940.JPG",2
"40","D16","experiment_2022","T12_F",2022-04-04 03:23:40,2022-04-04,"03:23:40",262,4.4,0.1,0,"2022/experiment_2022/D16/T12_F","D16_B_I__00942.JPG",1
"41","D16","experiment_2022","T12_F",2022-04-04 03:25:18,2022-04-04,"03:25:18",98,1.6,0,0,"2022/experiment_2022/D16/T12_F","D16_B_I__00943.JPG",1
"42","D16","experiment_2022","T12_F",2022-04-04 09:04:46,2022-04-04,"09:04:46",20368,339.5,5.7,0.2,"2022/experiment_2022/D16/T12_F","D16_B_I__00947.JPG",2
"43","D16","experiment_2022","T20_F",2022-03-05 02:06:59,2022-03-05,"02:06:59",0,0,0,0,"2022/experiment_2022/D16/T20_F","D16_A_I__00067.JPG",1
"44","D16","experiment_2022","T20_F",2022-03-05 04:49:35,2022-03-05,"04:49:35",9756,162.6,2.7,0.1,"2022/experiment_2022/D16/T20_F","D16_A_I__00069.JPG",1
"45","D16","experiment_2022","T20_F",2022-03-06 22:55:50,2022-03-06,"22:55:50",151575,2526.2,42.1,1.8,"2022/experiment_2022/D16/T20_F","D16_B_I__00156.JPG",1
"46","D16","experiment_2022","T20_F",2022-03-07 01:38:34,2022-03-07,"01:38:34",9764,162.7,2.7,0.1,"2022/experiment_2022/D16/T20_F","D16_B_I__00158.JPG",1
"47","D16","experiment_2022","T20_F",2022-03-11 17:21:12,2022-03-11,"17:21:12",402158,6702.6,111.7,4.7,"2022/experiment_2022/D16/T20_F","D16_A_I__00124.JPG",2
"48","D16","experiment_2022","T20_F",2022-03-24 10:31:51,2022-03-24,"10:31:51",1098639,18310.7,305.2,12.7,"2022/experiment_2022/D16/T20_F","D16_A_I__00356.JPG",1
"49","D16","experiment_2022","T20_F",2022-03-27 00:54:42,2022-03-27,"00:54:42",224571,3742.8,62.4,2.6,"2022/experiment_2022/D16/T20_F","D16_B_I__00662.JPG",1
"50","D16","experiment_2022","T20_F",2022-03-29 09:51:34,2022-03-29,"09:51:34",205012,3416.9,56.9,2.4,"2022/experiment_2022/D16/T20_F","D16_A_I__00420.JPG",1
"51","D16","experiment_2022","T20_F",2022-04-01 00:14:20,2022-04-01,"00:14:20",224566,3742.8,62.4,2.6,"2022/experiment_2022/D16/T20_F","D16_B_I__00817.JPG",1
